State,Fruit,Seasonality
New York,Collard Greens," July, August, September, October, November, December"
New York,Corn," August, September, October, November"
New York,Cranberries," October, November, December"
New York,Cucumbers," August, September, October, November"
New York,Currants," June, July, August"
New York,Eggplant," August, September, October, November"
New York,Endive," September, October"
New York,Fava Beans," May, June"
New York,Fennel," October, November"
New York,Fiddleheads," April, May"
New York,Garlic," June, July"
New York,Garlic Scapes," May, June"
New York,Gooseberries, June
New York,Grapes," August, September, October"
New York,Green Beans," July, August, September, October"
New York,Green Onions," May, June, July, August, September"
New York,Ground Cherries," June, July, August, September, October"
New York,Horseradish," January, February, March, April, October, November, December"
New York,Kale," September, October, November"
New York,Kohlrabi," June, July, September, October"
New York,Lamb's Quarters," May, June, July, August, September, October"
New York,Lavender," July, August, September, October"
New York,Leeks," August, September, October"
New York,Lettuce," May, June, July, August, September, October"
New York,Lima Beans," September, October"
New York,Melons," July, August, September, October"
New York,Mint," July, August, September, October"
New York,Morels," March, April, May"
New York,Mushrooms," March, April, May, June, July, August, September, October, November"
New York,Mustard Greens," June, July, August, September, October, November"
New York,Nectarines," July, August, September"
New York,Nettles," March, April, May"
New York,Okra," July, August, September, October"
New York,Onions," July, August, September, October, November"
New York,Oregano," July, August, September, October"
New York,Parsley," July, August, September, October"
New York,Parsnips," April, May, October, November, December"
New York,Pawpaw," September, October"
New York,Pea Shoots," April, May, June"
New York,Peaches," July, August, September"
New York,Pears," August, September, October"
New York,Peas," June, July, September, October"
New York,Peppers," July, August, September, October"
New York,Plums," July, August, September"
New York,Potatoes," July, August, September, October"
New York,Pumpkin," September, October"
New York,Purslane," May, June, July, August, September, October"
New York,Quince," October, November"
New York,Radicchio," September, October"
New York,Radishes," May, June, July, August, September"
New York,Ramps," March, April, May, June"
New York,Rapini," August, September, October, November"
New York,Raspberries," July, September, October"
New York,Rhubarb," May, June, July"
New York,Rosemary," July, August, September, October"
New York,Rutabaga," August, September, October, November"
New York,Sage," July, August, September, October"
New York,Salsify," January, October, November, December"
New York,Shallots," January, June, July, December"
New York,Shell Beans," September, October, November, December"
New York,Snap Peas," June, July, August, September, October"
New York,Snow Peas," June, July, August, September, October"
New York,Sorrel," May, June, July, August, September, October"
New York,Spinach," May, June, July, August, September, October"
New York,Sprouts," January, February, March, April, May, June, July, August, September, October, November, December"
New York,Strawberries," June, July"
New York,Summer Squash," June, July, August, September, October"
New York,Sunchokes," January, July, August"
New York,Sweet Potatoes," August, September"
New York,Tarragon," July, August, September, October"
New York,Thyme," July, August, September, October"
New York,Tomatillos," July, August, September, October"
New York,Tomatoes," June, July, August, September, October"
New York,Turnips," August, September, October, November"
New York,Watercress," April, May, June, July"
New York,Watermelon," September, October"
New York,Winter Squash," August, September, October, November"
New York,Zucchini," June, July, August, September, October"
North Carolina,Apples," January, February, August, September, October, November, December"
North Carolina,Arugula," March, April, May, September, October, November"
North Carolina,Asparagus," March, April"
North Carolina,Basil," May, June, July, August, September, October, November"
North Carolina,Beets," May, June, October, November, December"
North Carolina,Black Eyed Peas," June, July, August"
North Carolina,Blackberries," June, July, September"
North Carolina,Blueberries," May, June, July"
North Carolina,Bok Choy," May, June, October, November, December"
North Carolina,Brambles," June, July, September"
North Carolina,Broccoli," April, May"
North Carolina,Brussels Sprouts," October, November, December"
North Carolina,Cabbage," May, June, July, August, September, October, November, December"
North Carolina,Cantaloupe," July, August"
North Carolina,Cardoons," October, November, December"
North Carolina,Carrots," January, December"
North Carolina,Cauliflower," October, November, December"
North Carolina,Celery," September, October, November"
North Carolina,Celery Root," January, October, November, December"
North Carolina,Chard," March, April, May, June, July, August, September, October, November, December"
North Carolina,Cherries," May, June, July"
North Carolina,Chicories," October, November, December"
North Carolina,Chili Peppers," August, September"
North Carolina,Chives," March, April, May, June, July, August, September, October"
North Carolina,Cilantro," January, February, March, April, May, June, July, August, September, October, November, December"
North Carolina,Collard Greens," January, February, March, April, May, June, July, August, September, October, November, December"
North Carolina,Corn," June, July, August, September, October, November"
North Carolina,Cucumbers," June, July, August, September, October, November"
North Carolina,Eggplant," June, July, August"
North Carolina,Endive," October, November, December"
North Carolina,Fennel," January, February, March, April, May, June, September, October, November, December"
North Carolina,Figs," July, August, September"
North Carolina,Garlic," July, August"
North Carolina,Garlic Scapes," March, April"
North Carolina,Gooseberries," June, July"
North Carolina,Grapes," August, September"
North Carolina,Green Beans," June, July, August, September"
North Carolina,Green Onions," March, April, May, June, July, August, September, October, November"
North Carolina,Ground Cherries," June, July, August, September, October"
North Carolina,Horseradish," January, February, March, April, October, November, December"
North Carolina,Kale," May, June, October, November, December"
North Carolina,Kohlrabi," January, February, March, October, November, December"
North Carolina,Lamb's Quarters," January, February, March, April, May, October, November, December"
North Carolina,Lavender," July, August, September, October"
North Carolina,Leeks," January, February, March, April, May, June, July, August, September, October, November, December"
